,address,balance,share,isContract
0,0x92c533997a9e33d5e59ba20c073c09c304409297,2.613921866161062e+25,26.14,True
1,0x7ef8bc95c59e83ab0c831260b5bff848d8770ccc,2.527024851175714e+24,2.53,True
