,address,balance,share,isContract
1,0xefd51c4732f2e1d250b00a39338aacf93273d30d,1.4798923466453326e+25,14.8,True
2,0xdba68f07d1b7ca219f78ae8582c213d975c25caf,9.965e+24,9.97,True
8,0x49bd610924a863cc3fedfae2647d9590819520a1,1e+24,1.0,True
