"HolderAddress","Balance","PendingBalanceUpdate"
"0x000000000005af2ddc1a93a03e9b7014064d3b8d","1E-18","No"
"0x000000000035b5e5ad9019092c665357240f594e","1E-18","No"
"0x00000000500e2fece27a7600435d0c48d64e0c00","38.7381625547901","No"
"0x00000000a991c429ee2ec6df19d40fe0c80088b8","1E-18","No"
"0x0021c029c335d5f1a8397247ef8b9a6907038cfb","0.823710848586605","No"
"0x007933790a4f00000099e9001629d9fe7775b800","8.05E-05","No"
"0x01630fd509270f94c7c914d336153a096e157a44","1062899.55458139","No"
"0x01a92434a09cc03a2c5fa843b237c4a41ceca68e","21665938.4077229","No"
"0x043cfed3babceaf1a014a75f1e47b31bfa9cda3e","1881467.34726723","No"
"0x0444ff3610a491cf28c47c96d4645b472c923ee8","4472308.64344224","No"
"0x04efbf786f3ae444ee003d6bb19da904397e1602","0.388899264124233","No"
"0x05358c91ee5c9efc6e3423a3c485386d887cc34a","1.2680122E-11","No"
"0x05b9196ed7ebf65e07a4081ff269c68cd234f6be","24173451.8799384","No"
"0x05e21104c683912223b1c4347ffb2b32b9728f61","11058918.8938417","No"
"0x07999ec43daada09372cbb0ff11fd4ed702b1e2e","8056702.48407338","No"
"0x084144e0dded8d8b05173bc2f4bbe0994df87c52","0.223921088696543","No"
"0x0879de98aafd557d9fda725c311b14d2e969fe10","0.8005494462331","No"
"0x08a943acbfed228036ae3328a7845fe3be545b73","156069091.930854","No"
"0x09026d6d0ec237a80912a809c4f2716a2d7ab3a3","1592239.80123197","No"
"0x091d301520b60b5fd9de6d99b2b641f7de083932","4273439.15664021","No"
"0x0a6149903de93b91870288d48dc1d40b02c16945","204535960.80501","No"
"0x0ad8c83d1aab1117dfb629aac280a43476f0fa5d","856048.468851235","No"
"0x0bc58f09ab760fdaba1793d1354e65e8b873c4bf","28526974.4067192","No"
"0x0c3c9305f9926f6b8e324e74782a92cda054a5bb","6033730.6997169","No"
"0x0c6bf55f60143fa1da202ac8c9b8ce484b5a5d90","12618684.4008283","No"
"0x0d53bb4de7adcc3bf3770e06d5d8b1b028be4dd2","4707841.99826032","No"
"0x0eaf80504b28c0c84957c2955cc2d86a63e3840e","74909245.7029579","No"
"0x0ee0a3c8cf17c36d4aed06b775afeb675b78f222","19524591.0609898","No"
"0x0fffd0b17183b8383dbc26bf046b19f7f13abaec","12863519.6228485","No"
"0x100a3f316c4e04a1fec48962fc497c52f0f282fd","750567.385268229","No"
"0x1111111254eeb25477b68fb85ed929f73a960582","1E-18","No"
"0x1226d83f39f193669b0c08816c8addac592e1cfd","734821.441195423","No"
"0x140545850c56f7b5c005468518ac1276bd7f3d86","1340350.70886169","No"
"0x15079e28f20aa573bc786daaf20d8a881504eded","6883100.8039203","No"
"0x15392ab17b9e1ba9a21768f8a55a279dc6e92787","7275863.38079271","No"
"0x15abf088aa3ad2f4c95f995450b2891fbe7d0c00","0.670949396574654","No"
"0x1759e0597279713ea504981364d57001e0f702c9","4868938.98889298","No"
"0x178f316261455c17dc5e934e0ee91345bbd02489","45886808.2716006","No"
"0x1800f25d557e49cf57cb1f34b474ffb8b89952e7","6392701.94388628","No"
"0x1805b5270b581e614d364feea00645639babe73a","0.639464422145411","No"
"0x18bf24fe56b7b82429a4b646c9e72999fa4efde1","384043.300386534","No"
"0x19fcb2d9ed9101fc980a82ad4738c3477559d4e4","0.15412965014475","No"
"0x1a2014fb8abab34beb0087383f88c45205c2575f","1667450.81992488","No"
"0x1b32401213692333672f872df3fb98586117eaf8","394315.572285485","No"
"0x1be67c1553ac4d7f1a695b325df4254af2accd41","0.61120042081961","No"
"0x1c3ea7d33e95098b33e6dd0f49ece316b9b5499f","18222885.6661633","No"
"0x1d13ae00efab3fb488e2f28f0971ed3cc9a6b06f","2736692.93465824","No"
"0x1d7d50ac42f332fc9b6d61762122a41df80e2de8","4633284.98181657","No"
"0x1df5a4404f21e2832c488d034a98610b616caef7","1","No"
"0x1e7087d8709b4a61b68075d9c5d8f90da12a92df","2372496.02609648","No"
"0x2010ce9bcc395e40a6704a9f035ee69b64db2d5c","935269.543731435","No"
"0x202579dc2ae8570d374cf9a3b10523a3c96b09cc","1721384.35724167","No"
"0x20321b5fab71a84eb26c4b62c9b426099e26cacf","0.730268736935539","No"
"0x20de608929b026ef24a424ced75b828a3b56fc4d","0.46755211483047","No"
"0x210af8c924a60d70538abbd6dcf54ed0cf516cce","0.501629894308009","No"
"0x22157acfeb6cd23e9dc40772e4c793a6d3387738","542752.77363295","No"
"0x24d4fd2554156364d3062ed299649b3c8d5ec88a","16716433.60273","No"
"0x250640b16a0502538c659817d343c539e6d935e2","120100000","No"
"0x25073e4b087e79b65c836eb0b21f9a8fddd628cb","9645481.25897175","No"
"0x25548ba111d4f6cba0498ab77a6b40eacbefab52","40869842.8509043","No"
"0x26599aaa08b95ea0fdfc43c4a07e92dc0ec3f405","5538425.93415513","No"
"0x266a054a9cc990e7edea20d404c0cce7335b0684","8547139.02839642","No"
"0x26d7d7a8659d79831a79713caf8e8c22699b4241","162983263.896379","No"
"0x2735ffbab28daddada6043f7b77f3caa5e378282","2959790.65354116","No"
"0x27b54282bc592bf533e48f700829abb5d0a45b78","143431801.973053","No"
"0x27d347e37d118e28930a86c337bd95ff503fe64d","376.650053774453","No"
"0x27e01ac1229c234faaf9e08db129e23aa9cdec9d","4315562.55028165","No"
