"HolderAddress","Balance","PendingBalanceUpdate"
"0x000000000000000000000000000000000000dead","59419321.9433937","No"
"0x000000000005af2ddc1a93a03e9b7014064d3b8d","1E-18","No"
"0x000000000035b5e5ad9019092c665357240f594e","1E-18","No"
"0x00000000003b3cc22af3ae1eac0440bcee416b40","51.875962706819","No"
"0x00000000a991c429ee2ec6df19d40fe0c80088b8","1E-17","No"
"0x00003c85bf903e179f1224bc8ab2ea4ed8000001","24519105.0098406","No"
"0x007933790a4f00000099e9001629d9fe7775b800","0.00018","No"
"0x025050c351452d8738fc6ac8792a4b87883ca055","1.42033669E-10","No"
"0x05358c91ee5c9efc6e3423a3c485386d887cc34a","3885259.23996456","No"
"0x0634ca339d1c6b3b8768a0df52e784aefa948103","15475663.7489477","No"
"0x0804a976e13ef964bf59f805c8e1c320fa3c3523","3123787.26298943","No"
"0x084144e0dded8d8b05173bc2f4bbe0994df87c52","3744418.04080996","No"
"0x0c2607e1954f59ba402ea97ce7540399817711d1","8347419.364982","No"
"0x1170dd46dc4decb648ba84f2a27b424f64f30849","1759084.65796106","No"
"0x11c6d083e9b0748be19bfce21115fe9f8ddd7fd9","910365.780259822","No"
"0x14d017cbd4c36d95e14e914478e5fef6b779f2fc","34880699.327674","No"
"0x1903c15f4bcf41300716648d84b62b2d8405e699","4425657.59997088","No"
"0x19c32b7ab4d1615d5f03279f85b18f1b0e750ce2","5450315.65037942","No"
"0x22285741838798829c6d5b41b74dbfc860ae2380","8047874.36559943","No"
"0x22df04cab05a0fde80300f78ad389356f2bfa433","0.795402736632708","No"
"0x290cb310b4382c832317891d6aea5f4248c312dd","601065.981434215","No"
"0x2bf59f59ea3b190f9b27c6aaa000d08fac495ad7","6945554.24330453","No"
"0x2ea32f87107e50a168ea0834bc92501226e1279f","1000000","No"
"0x350bcde5c54a37267ac15c448e8f111a9ead821f","17065939.8753412","No"
"0x36b8d90404857688b361011365985486ce85c724","4989584.95442018","No"
"0x3742db6e1e9663959493b1a5098365520d5448f0","5120441.51522932","No"
"0x3bd126b812e1f9a4d4ee84fd2f5bd2dc4798e6e4","1689342.67455149","No"
"0x3c4ae99ff6fe8a6c1b4da75859a33fc3ff69cc4c","11051487.0292982","No"
